datetime,open,high,low,close,volume
2025-03-27 08:30:00-05:00,20028.75,20044.75,20004.5,20044.5,9219
2025-03-27 08:31:00-05:00,20044.75,20069.75,20029.5,20048.75,10061
2025-03-27 08:32:00-05:00,20048.75,20053.25,19999.25,20003.25,10886
2025-03-27 08:33:00-05:00,20002.75,20002.75,19977.75,19979.5,12059
2025-03-27 08:34:00-05:00,19979.25,20008.0,19976.75,19997.25,8956
2025-03-27 08:35:00-05:00,19997.5,20004.5,19973.75,19989.75,10983
2025-03-27 08:36:00-05:00,19990.0,20004.0,19963.25,19966.0,11101
2025-03-27 08:37:00-05:00,19966.75,19970.25,19952.25,19954.5,8746
2025-03-27 08:38:00-05:00,19954.75,19969.25,19944.0,19960.5,9351
2025-03-27 08:39:00-05:00,19960.25,19966.0,19948.0,19950.5,5702
2025-03-27 08:40:00-05:00,19951.0,19962.25,19939.5,19961.0,8921
2025-03-27 08:41:00-05:00,19961.25,19964.5,19937.75,19948.75,8527
2025-03-27 08:42:00-05:00,19948.25,19963.0,19939.5,19947.25,7125
2025-03-27 08:43:00-05:00,19947.75,19970.5,19942.5,19969.25,7125
2025-03-27 08:44:00-05:00,19969.5,19981.25,19960.0,19979.5,8130
2025-03-27 08:45:00-05:00,19979.75,19997.0,19979.0,19990.0,10695
2025-03-27 08:46:00-05:00,19990.5,20007.25,19974.0,19983.5,9899
2025-03-27 08:47:00-05:00,19983.5,19990.75,19967.0,19979.0,6589
2025-03-27 08:48:00-05:00,19979.0,19987.0,19960.25,19985.0,7139
2025-03-27 08:49:00-05:00,19985.5,20024.0,19982.75,20015.5,10622
2025-03-27 08:50:00-05:00,20015.75,20035.0,20009.5,20028.25,10500
2025-03-27 08:51:00-05:00,20028.25,20038.25,20016.5,20017.5,8015
2025-03-27 08:52:00-05:00,20017.75,20027.75,20006.75,20018.75,7061
2025-03-27 08:53:00-05:00,20019.0,20029.0,20000.25,20026.75,6465
2025-03-27 08:54:00-05:00,20026.5,20079.0,20022.75,20065.25,13944
2025-03-27 08:55:00-05:00,20065.75,20091.0,20063.0,20077.75,10027
2025-03-27 08:56:00-05:00,20077.75,20089.5,20065.5,20081.0,6910
2025-03-27 08:57:00-05:00,20081.5,20083.75,20064.75,20076.25,4529
2025-03-27 08:58:00-05:00,20076.0,20088.0,20063.75,20074.75,4263
2025-03-27 08:59:00-05:00,20074.75,20081.5,20068.75,20076.75,2646
2025-03-27 09:00:00-05:00,20076.0,20101.5,20067.0,20097.25,9080
2025-03-27 09:01:00-05:00,20097.25,20102.75,20077.25,20082.25,5947
2025-03-27 09:02:00-05:00,20082.5,20100.0,20073.5,20087.25,6107
2025-03-27 09:03:00-05:00,20086.75,20094.0,20071.5,20071.5,4546
2025-03-27 09:04:00-05:00,20072.0,20088.25,20071.75,20078.5,4360
2025-03-27 09:05:00-05:00,20079.0,20092.75,20075.5,20083.0,4479
2025-03-27 09:06:00-05:00,20083.0,20094.25,20072.0,20091.5,4875
2025-03-27 09:07:00-05:00,20091.5,20092.75,20058.75,20072.0,8102
2025-03-27 09:08:00-05:00,20072.0,20072.5,20042.25,20042.25,7350
2025-03-27 09:09:00-05:00,20042.75,20064.25,20038.5,20058.25,6813
2025-03-27 09:10:00-05:00,20058.0,20060.5,20027.75,20034.5,7355
2025-03-27 09:11:00-05:00,20034.0,20060.25,20031.75,20052.25,6264
2025-03-27 09:12:00-05:00,20051.75,20066.75,20045.0,20064.25,5461
2025-03-27 09:13:00-05:00,20064.5,20087.0,20064.0,20086.5,7291
2025-03-27 09:14:00-05:00,20086.75,20097.0,20081.25,20090.25,6489
2025-03-27 09:15:00-05:00,20090.25,20095.0,20066.75,20071.75,5888
2025-03-27 09:16:00-05:00,20072.0,20079.5,20063.25,20069.0,4380
2025-03-27 09:17:00-05:00,20069.5,20083.0,20060.0,20081.25,5399
2025-03-27 09:18:00-05:00,20081.5,20086.75,20067.5,20070.5,3558
2025-03-27 09:19:00-05:00,20071.5,20096.0,20070.25,20087.0,5391
2025-03-27 09:20:00-05:00,20087.75,20096.0,20054.0,20056.5,6646
2025-03-27 09:21:00-05:00,20057.0,20065.5,20051.5,20059.0,4542
2025-03-27 09:22:00-05:00,20059.25,20068.75,20052.0,20052.75,4360
2025-03-27 09:23:00-05:00,20053.25,20059.5,20046.0,20050.0,4164
2025-03-27 09:24:00-05:00,20050.25,20069.5,20047.75,20066.5,4316
2025-03-27 09:25:00-05:00,20066.0,20087.25,20060.25,20080.25,5694
2025-03-27 09:26:00-05:00,20081.0,20085.25,20074.0,20080.0,3361
2025-03-27 09:27:00-05:00,20080.0,20091.75,20077.75,20082.25,3914
2025-03-27 09:28:00-05:00,20082.5,20101.5,20080.0,20099.0,4200
2025-03-27 09:29:00-05:00,20099.25,20123.0,20097.25,20121.25,8713
2025-03-27 09:30:00-05:00,20120.5,20130.0,20111.0,20117.0,8240
2025-03-27 09:31:00-05:00,20116.5,20126.5,20106.25,20110.25,5279
2025-03-27 09:32:00-05:00,20110.75,20129.0,20107.75,20127.0,4361
2025-03-27 09:33:00-05:00,20128.0,20132.0,20117.25,20119.25,3993
2025-03-27 09:34:00-05:00,20119.25,20132.75,20119.25,20128.75,3587
2025-03-27 09:35:00-05:00,20128.5,20138.5,20124.0,20138.25,4688
2025-03-27 09:36:00-05:00,20138.5,20139.0,20125.5,20126.0,3982
2025-03-27 09:37:00-05:00,20126.0,20149.75,20124.0,20148.75,6029
2025-03-27 09:38:00-05:00,20149.5,20168.0,20149.25,20165.75,9481
