datetime,open,high,low,close,volume
2025-03-31 17:00:00-05:00,19413.0,19413.25,19401.5,19404.0,816
2025-03-31 17:01:00-05:00,19404.5,19405.75,19401.5,19403.25,431
2025-03-31 17:02:00-05:00,19403.25,19404.5,19400.75,19401.75,298
2025-03-31 17:03:00-05:00,19401.75,19402.75,19396.5,19398.75,487
2025-03-31 17:04:00-05:00,19398.5,19401.5,19397.5,19398.25,327
2025-03-31 17:05:00-05:00,19398.25,19402.75,19390.75,19392.0,557
2025-03-31 17:06:00-05:00,19392.75,19394.0,19380.0,19385.5,741
2025-03-31 17:07:00-05:00,19386.25,19389.75,19383.0,19385.0,219
2025-03-31 17:08:00-05:00,19385.25,19404.5,19378.5,19398.5,1211
2025-03-31 17:09:00-05:00,19398.25,19398.5,19372.75,19372.75,845
2025-03-31 17:10:00-05:00,19374.5,19385.0,19372.5,19380.75,488
2025-03-31 17:11:00-05:00,19381.5,19385.75,19357.5,19358.5,1200
2025-03-31 17:12:00-05:00,19358.5,19362.75,19337.0,19345.5,1502
2025-03-31 17:13:00-05:00,19345.75,19349.75,19342.0,19348.25,542
2025-03-31 17:14:00-05:00,19349.5,19357.5,19342.0,19342.0,498
2025-03-31 17:15:00-05:00,19343.25,19343.25,19326.0,19330.25,1487
2025-03-31 17:16:00-05:00,19328.25,19346.5,19325.0,19345.5,939
2025-03-31 17:17:00-05:00,19345.75,19360.25,19345.0,19357.5,937
2025-03-31 17:18:00-05:00,19357.0,19360.25,19346.25,19348.0,411
2025-03-31 17:19:00-05:00,19347.5,19360.0,19346.0,19357.0,547
2025-03-31 17:20:00-05:00,19357.25,19365.0,19355.0,19362.5,674
2025-03-31 17:21:00-05:00,19362.5,19365.5,19357.5,19360.0,303
2025-03-31 17:22:00-05:00,19359.25,19361.5,19352.0,19353.0,513
2025-03-31 17:23:00-05:00,19353.5,19357.0,19352.0,19355.25,187
2025-03-31 17:24:00-05:00,19354.5,19355.25,19346.0,19349.25,732
2025-03-31 17:25:00-05:00,19348.5,19351.75,19347.75,19348.25,176
2025-03-31 17:26:00-05:00,19349.0,19350.75,19345.25,19350.0,211
2025-03-31 17:27:00-05:00,19349.0,19362.75,19349.0,19361.75,582
2025-03-31 17:28:00-05:00,19362.0,19362.75,19357.0,19359.75,309
2025-03-31 17:29:00-05:00,19359.25,19363.25,19357.0,19357.0,217
2025-03-31 17:30:00-05:00,19357.5,19361.5,19357.0,19358.25,197
2025-03-31 17:31:00-05:00,19358.5,19368.75,19358.5,19363.25,420
2025-03-31 17:32:00-05:00,19363.0,19364.25,19361.0,19362.25,180
2025-03-31 17:33:00-05:00,19362.0,19368.25,19361.5,19364.5,252
2025-03-31 17:34:00-05:00,19363.75,19365.5,19361.0,19363.5,191
2025-03-31 17:35:00-05:00,19364.0,19369.75,19363.25,19367.25,318
2025-03-31 17:36:00-05:00,19366.5,19370.0,19366.5,19370.0,223
2025-03-31 17:37:00-05:00,19369.5,19372.75,19369.0,19370.75,325
2025-03-31 17:38:00-05:00,19370.75,19378.75,19370.0,19377.5,572
2025-03-31 17:39:00-05:00,19377.75,19378.0,19373.75,19375.0,279
2025-03-31 17:40:00-05:00,19375.5,19376.0,19367.5,19372.25,574
2025-03-31 17:41:00-05:00,19372.25,19372.25,19369.25,19370.5,97
2025-03-31 17:42:00-05:00,19370.75,19373.0,19368.25,19372.25,214
2025-03-31 17:43:00-05:00,19372.5,19377.75,19369.5,19377.25,345
2025-03-31 17:44:00-05:00,19377.75,19380.0,19375.0,19379.0,435
2025-03-31 17:45:00-05:00,19378.5,19384.0,19377.5,19382.75,412
2025-03-31 17:46:00-05:00,19382.75,19383.25,19377.5,19381.75,251
2025-03-31 17:47:00-05:00,19381.25,19383.5,19375.5,19376.75,536
2025-03-31 17:48:00-05:00,19377.75,19384.75,19376.0,19384.0,320
2025-03-31 17:49:00-05:00,19383.75,19398.0,19383.5,19391.75,1028
2025-03-31 17:50:00-05:00,19391.75,19394.5,19386.5,19387.25,408
2025-03-31 17:51:00-05:00,19387.75,19390.75,19386.0,19386.75,239
2025-03-31 17:52:00-05:00,19386.75,19388.25,19381.25,19383.25,358
2025-03-31 17:53:00-05:00,19383.0,19386.25,19381.25,19382.75,288
2025-03-31 17:54:00-05:00,19383.0,19383.25,19374.25,19375.25,454
2025-03-31 17:55:00-05:00,19375.25,19384.75,19374.75,19379.25,422
2025-03-31 17:56:00-05:00,19379.5,19379.5,19372.25,19374.75,467
